seq,trace_id,t_req_ms,t_resp_ms,http_code,gateway_latency_ms
0,exp-perf20000-000000-50191cf6,1777539632166,1777539632231,202,65.343
1,exp-perf20000-000001-fba98462,1777539632177,1777539632232,202,55.793
2,exp-perf20000-000002-36ac21ec,1777539632177,1777539632235,202,57.727
3,exp-perf20000-000003-d0999d73,1777539632177,1777539632232,202,54.774
4,exp-perf20000-000004-db453e73,1777539632177,1777539632235,202,57.855
5,exp-perf20000-000005-16701988,1777539632177,1777539632237,202,59.326
6,exp-perf20000-000006-31346499,1777539632178,1777539632235,202,57.869
7,exp-perf20000-000007-9f0db59f,1777539632178,1777539632232,202,54.038
8,exp-perf20000-000008-e201a5b0,1777539632178,1777539632244,202,66.189
9,exp-perf20000-000009-6d2b6317,1777539632178,1777539632239,202,60.816
10,exp-perf20000-000010-7ae606eb,1777539632178,1777539632238,202,59.971
11,exp-perf20000-000011-74070a99,1777539632178,1777539632236,202,58.072
12,exp-perf20000-000012-0ba39d1c,1777539632178,1777539632233,202,54.890
13,exp-perf20000-000013-e63b0e76,1777539632178,1777539632233,202,54.935
14,exp-perf20000-000014-092fcdcb,1777539632178,1777539632234,202,55.568
15,exp-perf20000-000015-f25f77f9,1777539632178,1777539632237,202,59.262
16,exp-perf20000-000016-0b62facc,1777539632178,1777539632237,202,58.315
17,exp-perf20000-000017-4f6a9a61,1777539632178,1777539632240,202,61.133
18,exp-perf20000-000018-958b5446,1777539632178,1777539632234,202,55.403
19,exp-perf20000-000019-e0963751,1777539632179,1777539632242,202,63.569
20,exp-perf20000-000020-756fef50,1777539632179,1777539632235,202,56.064
21,exp-perf20000-000021-a474dc24,1777539632179,1777539632236,202,57.445
22,exp-perf20000-000022-52df89ac,1777539632179,1777539632237,202,58.552
23,exp-perf20000-000023-e8ba6111,1777539632179,1777539632245,202,66.153
24,exp-perf20000-000024-97cde4ef,1777539632179,1777539632244,202,65.521
25,exp-perf20000-000025-2ee13907,1777539632179,1777539632246,202,67.521
26,exp-perf20000-000026-0018b718,1777539632179,1777539632238,202,59.112
27,exp-perf20000-000027-e064ac49,1777539632179,1777539632240,202,60.832
28,exp-perf20000-000028-d037c168,1777539632179,1777539632239,202,60.054
29,exp-perf20000-000029-aa8f1166,1777539632179,1777539632243,202,64.038
30,exp-perf20000-000030-47abfc5d,1777539632179,1777539632243,202,63.218
31,exp-perf20000-000031-82c7956e,1777539632179,1777539632248,202,68.935
32,exp-perf20000-000032-662882ff,1777539632180,1777539632247,202,67.550
33,exp-perf20000-000033-d792d6ba,1777539632180,1777539632241,202,61.055
34,exp-perf20000-000034-069b3355,1777539632180,1777539632239,202,59.109
35,exp-perf20000-000035-f7ed33ae,1777539632180,1777539632242,202,61.594
36,exp-perf20000-000036-0d65c3c1,1777539632180,1777539632247,202,66.916
37,exp-perf20000-000037-f461811e,1777539632180,1777539632246,202,65.525
38,exp-perf20000-000038-c27e8087,1777539632180,1777539632241,202,60.847
39,exp-perf20000-000039-7cbba99e,1777539632180,1777539632240,202,59.889
